Syracuse, Central New York, Monthly Mean Temperature
Date	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2022	18	26.1	35.5	45.5	61.5	64.9	70.6	70.5	61.2	50.2	42.6	30.8
2021	25.4	24.4	36.5	46.8	55.8	68	68.1	71.5	62.9	55.9	37.9	34.6
2020	29.9	27.8	38.7	43.3	55.7	66.2	72.9	68.9	60.3	50.4	42.8	31.4
2019	20.8	25.2	32.1	46.3	55.2	63.9	71.3	66.2	61	51.3	34.7	28.8
2018	21.8	31.5	32.1	39.5	62.4	65.5	72.7	70.6	64	49.1	34.9	30
2017	29.7	33.2	29.9	50.7	56.1	65.6	69.5	67.1	63.1	55.8	38.4	24.7
2016	25.1	34.6	39.2	43.7	58.3	65.8	71.5	72.2	63.8	51.9	41	29.6
2015	17.9	11.8	27.8	45.1	62.9	65.4	69.7	68.6	65.4	48.7	44.8	40.8
2014	18.7	20.9	25.7	44.9	58.2	66.2	67.4	66	60.2	52.9	37.7	32.1
2013	25.1	24.7	32.1	44.6	58.7	64.4	72.1	66.4	58.4	51.6	35.8	27.6
2012	27.3	30.3	46.6	44.5	61.8	65.7	72.4	68.7	60.9	52.2	35.6	32.9
2011	20.2	22.9	32.7	46.5	60.3	65.4	71.9	68.1	62.9	50	43.5	33.3
2010	22.3	25.8	39.6	49.8	60	65.5	71.9	68.7	61.7	48.9	38.5	25
2009	17.3	25.4	34.2	47.3	54.9	63.4	66.1	68.3	58.8	47.4	43.1	26.3
2008	27.4	24.5	30.5	50	52.1	66.9	69.7	65.1	61.3	46.5	37.9	27.9
2007	26.4	17.4	30	42.2	56.9	66.3	66.9	68.1	62.4	55.7	36.4	27
2006	30.4	23.8	31.8	46	56.1	65.5	71.4	66.4	59	47	42.9	35.3
