Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
2022    1.35    2.28    2.65    4.58    1.65    3.13    2.24    5.81    4.73    0.73    2.57    3.4
2021    2.34    2.63    1.64    2.88    4.04    6.16    10.13   8.82    3.27    8.63    2.77    2.92
2020    2.93    2.94    2.39    3.18    3.11    1.62    6.84    3.84    2.65    3.12    3.53    3.47
2019    3.84    2.83    1.86    5.19    7.01    5.38    6.85    5.15    3.55    10.4    2.41    4.7
2018    1.9     2.71    7.23    3.35    2.61    2.05    3.8     3.71    4.38    5.15    6.28    3.61
2017    6.32    3.98    6.13    8.34    8.87    7.23    7.14    4.78    3.16    5.56    4.72    2.4
2016    1.8     0.88    2.82    3.11    3.32    4.33    3.54    6.5     2.13    5.6     3.08    5.71
2015    2.04    1.21    3.23    3.76    4.17    8       1.95    3.66    4.62    4.66    0.7     6.78
2014    1.58    4       3.03    4.8     4.51    6.61    6.97    5.64    2.5     4.75    2.9     3.63
2013    2.2     2.18    1.44    4.73    3.95    8.75    8.17    2.17    4.34    5       3.64    2.61
2012    3.12    1.57    1.64    2.92    5.52    3.01    3.8     2.7     2.38    4.08    1.76    6.01
2011    1.96    3.28    3.32    7.23    6.11    6.54    3.79    4.88    8.49    4.29    4.01    2.42
2010    1.33    1.96    2.5     1.47    3.04    5.63    4.44    5.97    5.03    5.14    4.09    3.19
2009    1.38    1.84    3.62    3.73    2.34    3.97    4.03    4.78    1.93    2.97    1.77    1.84
2008    0.77    3.94    4.86    3.09    2.1     3.61    3.88    3.31    2.33    6.73    3.07    3.16
2007    3.36    1.23    3.83    4.38    1.07    2.67    3.04    3.01    2.75    6.17    3.59    1.1
2006    1.6     0.64    1.88    3.27    2.09    6.67    6.15    3.4     3.49    6.81    3.22    3.66
