Syracuse, Central New York, Snowfall
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
2022	14.9	16.8	14.6	8.7	0	0	0	0	0	0	12.3	19.4
2021	18.6	31.7	1.4	1.6	0	0	0	0	0	0	3.9	7.6
2020	10.5	27.7	7.7	3.2	1.7	0	0	0	0	0	3.5	17.8
2019	23.5	24.9	6.9	5.7	0	0	0	0	0	0	4.1	18.7
2018	21.2	21.1	35.9	1.5	0	0	0	0	0	0	21.3	7.5
2017	8.5	22.5	26.2	0.3	0	0	0	0	0	0	3.7	26.3
2016	20.5	11.8	0.9	3.1	0	0	0	0	0	0	14.5	38.4
2015	13.6	44.5	9.3	0.3	0	0	0	0	0	0	0.1	1.9
2014	18.6	31	11.8	1	0	0	0	0	0	0	15.8	9
2013	12.4	20.9	12.8	3.4	0	0	0	0	0	0	8.9	22.5
2012	19.3	9.5	8.5	0	0	0	0	0	0	0	7.9	23.3
2011	41.6	29.6	18.1	0.1	0	0	0	0	0	0	4.3	4.1
2010	21.1	38.4	0	0	0	0	0	0	0	0	0.4	22.6
2009	33.6	16.8	0	0.8	0	0	0	0	0	0	0	12.9
2008	13.8	32	13	0	0	0	0	0	0	2.5	6	35.9
2007	27.8	73	16.9	0	0	0	0	0	0	0	1.3	34.9
2006	12.3	24.9	17.8	3.3	0	0	0	0	0	0	2.5	6.3
